id_municipio,id_municipio_6,id_municipio_tse,id_municipio_rf,id_municipio_bcb,nome,capital_uf,id_comarca,id_regiao_saude,nome_regiao_saude,id_regiao_imediata,nome_regiao_imediata,id_regiao_intermediaria,nome_regiao_intermediaria,id_microrregiao,nome_microrregiao,id_mesorregiao,nome_mesorregiao,ddd,id_uf,sigla_uf,nome_uf,nome_regiao
1100023,110002,78,7,9393,Ariquemes,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100106,110010,19,1,22882,Guajará-Mirim,0,1100106,11004,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11002,Guajará-Mirim,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100114,110011,159,15,41258,Jaru,0,1100114,11003,Central,110003,Jaru,1101,Porto Velho,11004,Ji-Paraná,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100130,110013,396,39,44547,Machadinho D'Oeste,0,1100130,11001,Vale do Jamari,110003,Jaru,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100205,110020,35,3,30719,Porto Velho,1,1100205,11004,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100262,110026,647,687,46916,Rio Crespo,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100338,110033,434,47,44516,Nova Mamoré,0,1100106,11004,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100403,110040,639,675,46909,Alto Paraíso,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100452,110045,779,4,56638,Buritis,0,1100452,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100601,110060,620,677,46978,Cacaulândia,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1100700,110070,671,679,46947,Campo Novo de Rondônia,0,1100452,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100809,110080,477,681,46961,Candeias do Jamari,0,1100205,11004,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1100940,110094,680,8,56652,Cujubim,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1101005,110100,612,693,46624,Governador Jorge Teixeira,0,1100114,11003,Central,110003,Jaru,1101,Porto Velho,11004,Ji-Paraná,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1101104,110110,493,683,46851,Itapuã do Oeste,0,1100205,11004,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001,Porto Velho,1101,Madeira-Guaporé,69,11,RO,Rondônia,Norte
1101401,110140,663,685,46507,Monte Negro,0,1100023,11001,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1101609,110160,590,975,46899,Theobroma,0,1100114,11003,Central,110003,Jaru,1101,Porto Velho,11004,Ji-Paraná,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1101757,110175,698,24,56731,Vale do Anari,0,1100130,11003,Central,110003,Jaru,1101,Porto Velho,11003,Ariquemes,1102,Leste Rondoniense,69,11,RO,Rondônia,Norte
1200013,120001,1120,643,50830,Acrelândia,0,1200013,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200054,120005,1570,157,9465,Assis Brasil,0,1200054,12001,Alto Acre,120002,Brasiléia,1201,Rio Branco,12005,Brasiléia,1202,Vale do Acre,68,12,AC,Acre,Norte
1200104,120010,1058,105,35697,Brasiléia,0,1200104,12001,Alto Acre,120002,Brasiléia,1201,Rio Branco,12005,Brasiléia,1202,Vale do Acre,68,12,AC,Acre,Norte
1200138,120013,1007,645,50919,Bujari,0,1200138,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200179,120017,1015,647,50971,Capixaba,0,1200179,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200203,120020,1074,107,35680,Cruzeiro do Sul,0,1200203,12003,Juruá e Tarauacá/Envira,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12001,Cruzeiro do Sul,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200252,120025,1112,651,50964,Epitaciolândia,0,1200252,12001,Alto Acre,120002,Brasiléia,1201,Rio Branco,12005,Brasiléia,1202,Vale do Acre,68,12,AC,Acre,Norte
1200302,120030,1139,113,15978,Feijó,0,1200302,12003,Juruá e Tarauacá/Envira,120005,Tarauacá,1202,Cruzeiro do Sul,12002,Tarauacá,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200328,120032,1104,653,50957,Jordão,0,1200609,12002,Baixo Acre e Purus,120005,Tarauacá,1202,Cruzeiro do Sul,12002,Tarauacá,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200336,120033,1090,109,1030,Mâncio Lima,0,1200336,12003,Juruá e Tarauacá/Envira,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12001,Cruzeiro do Sul,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200344,120034,1554,155,5184,Manoel Urbano,0,1200344,12002,Baixo Acre e Purus,120003,Sena Madureira,1201,Rio Branco,12003,Sena Madureira,1202,Vale do Acre,68,12,AC,Acre,Norte
1200351,120035,1040,655,50902,Marechal Thaumaturgo,0,1200203,12003,Juruá e Tarauacá/Envira,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12001,Cruzeiro do Sul,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200385,120038,1511,151,29988,Plácido de Castro,0,1200385,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200393,120039,1066,657,50926,Porto Walter,0,1200203,12003,Juruá e Tarauacá/Envira,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12001,Cruzeiro do Sul,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200401,120040,1392,139,38955,Rio Branco,1,1200401,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200427,120042,1082,659,50854,Rodrigues Alves,0,1200427,12003,Juruá e Tarauacá/Envira,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12001,Cruzeiro do Sul,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200435,120043,1031,661,50940,Santa Rosa do Purus,0,1200500,12002,Baixo Acre e Purus,120003,Sena Madureira,1201,Rio Branco,12003,Sena Madureira,1202,Vale do Acre,68,12,AC,Acre,Norte
1200450,120045,1538,153,33730,Senador Guiomard,0,1200450,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1200500,120050,1457,145,29074,Sena Madureira,0,1200500,12002,Baixo Acre e Purus,120003,Sena Madureira,1201,Rio Branco,12003,Sena Madureira,1202,Vale do Acre,68,12,AC,Acre,Norte
1200609,120060,1473,147,27478,Tarauacá,0,1200609,12003,Juruá e Tarauacá/Envira,120005,Tarauacá,1202,Cruzeiro do Sul,12002,Tarauacá,1201,Vale do Juruá,68,12,AC,Acre,Norte
1200708,120070,1490,149,18690,Xapuri,0,1200708,12001,Alto Acre,120002,Brasiléia,1201,Rio Branco,12005,Brasiléia,1202,Vale do Acre,68,12,AC,Acre,Norte
1200807,120080,1023,649,50847,Porto Acre,0,1200807,12002,Baixo Acre e Purus,120001,Rio Branco,1201,Rio Branco,12004,Rio Branco,1202,Vale do Acre,68,12,AC,Acre,Norte
1300029,130002,2895,289,41832,Alvarães,0,1300029,13008,Triângulo,130005,Tefé,1302,Tefé,13005,Tefé,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1300060,130006,2917,291,41928,Amaturá,0,1300060,13009,Alto Solimões,130006,Tabatinga,1302,Tefé,13003,Alto Solimões,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1300086,130008,2933,293,41942,Anamã,0,1300086,13002,Rio Negro e Solimões,130004,Manacapuru,1301,Manaus,13006,Coari,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1300102,130010,2038,203,39253,Anori,0,1300102,13002,Rio Negro e Solimões,130003,Coari,1301,Manaus,13006,Coari,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1300144,130014,2003,969,41911,Apuí,0,1300144,13003,Rio Madeira,130009,Manicoré,1303,Lábrea,13013,Madeira,1304,Sul Amazonense,97,13,AM,Amazonas,Norte
1300201,130020,2054,205,9537,Atalaia do Norte,0,1300201,13009,Alto Solimões,130006,Tabatinga,1302,Tefé,13003,Alto Solimões,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1300300,130030,2070,207,18360,Autazes,0,1300300,13001,"Manaus, Entorno e Alto Rio Negro",130001,Manaus,1301,Manaus,13007,Manaus,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1300409,130040,2097,209,23434,Barcelos,0,1300409,13001,"Manaus, Entorno e Alto Rio Negro",130002,São Gabriel da Cachoeira,1301,Manaus,13001,Rio Negro,1301,Norte Amazonense,97,13,AM,Amazonas,Norte
1300508,130050,2119,211,32315,Barreirinha,0,1300508,13005,Baixo Amazonas,130010,Parintins,1304,Parintins,13010,Parintins,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1300607,130060,2135,213,5665,Benjamin Constant,0,1300607,13009,Alto Solimões,130006,Tabatinga,1302,Tefé,13003,Alto Solimões,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1300631,130063,2950,295,41887,Beruri,0,1300631,13002,Rio Negro e Solimões,130003,Coari,1301,Manaus,13006,Coari,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1300680,130068,2976,297,41997,Boa Vista do Ramos,0,1300680,13005,Baixo Amazonas,130010,Parintins,1304,Parintins,13010,Parintins,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1300706,130070,2151,215,12737,Boca do Acre,0,1300706,13006,Regional Purus,130008,Lábrea,1303,Lábrea,13011,Boca do Acre,1304,Sul Amazonense,97,13,AM,Amazonas,Norte
1300805,130080,2178,217,21553,Borba,0,1300805,13003,Rio Madeira,130001,Manaus,1301,Manaus,13013,Madeira,1304,Sul Amazonense,92,13,AM,Amazonas,Norte
1300839,130083,2992,299,41935,Caapiranga,0,1300839,13002,Rio Negro e Solimões,130004,Manacapuru,1301,Manaus,13006,Coari,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1300904,130090,2194,219,27746,Canutama,0,1300904,13006,Regional Purus,130008,Lábrea,1303,Lábrea,13012,Purus,1304,Sul Amazonense,97,13,AM,Amazonas,Norte
1301001,130100,2216,221,36816,Carauari,0,1301001,13007,Regional Juruá,130005,Tefé,1302,Tefé,13004,Juruá,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1301100,130110,2232,223,6963,Careiro,0,1301100,13001,"Manaus, Entorno e Alto Rio Negro",130001,Manaus,1301,Manaus,13007,Manaus,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1301159,130115,2046,965,44705,Careiro da Várzea,0,1301159,13001,"Manaus, Entorno e Alto Rio Negro",130001,Manaus,1301,Manaus,13007,Manaus,1303,Centro Amazonense,92,13,AM,Amazonas,Norte
1301209,130120,2259,225,17165,Coari,0,1301209,13002,Rio Negro e Solimões,130003,Coari,1301,Manaus,13006,Coari,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1301308,130130,2275,227,25889,Codajás,0,1301308,13002,Rio Negro e Solimões,130003,Coari,1301,Manaus,13006,Coari,1303,Centro Amazonense,97,13,AM,Amazonas,Norte
1301407,130140,2291,229,34375,Eirunepé,0,1301407,13007,Regional Juruá,130007,Eirunepé,1302,Tefé,13004,Juruá,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1301506,130150,2313,231,6145,Envira,0,1301506,13007,Regional Juruá,130007,Eirunepé,1302,Tefé,13004,Juruá,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1301605,130160,2330,233,12971,Fonte Boa,0,1301605,13009,Alto Solimões,130005,Tefé,1302,Tefé,13003,Alto Solimões,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
1301654,130165,2020,967,44712,Guajará,0,1301654,13007,Regional Juruá,130007,Eirunepé,1302,Tefé,13004,Juruá,1302,Sudoeste Amazonense,97,13,AM,Amazonas,Norte
